day,hour,kWh
1,0,2.824
1,1,3.406
1,2,3.205
1,3,3.69
1,4,2.287
1,5,1.983
1,6,2.848
1,7,2.453
1,8,2.193
1,9,2.523
1,10,1.745
1,11,1.925
1,12,2.101
1,13,1.576
1,14,2.84
1,15,2.54
1,16,1.887
1,17,1.462
1,18,1.653
1,19,2.324
1,20,3.844
1,21,3.908
1,22,5.666
1,23,4.68
2,0,4.514
2,1,1.969
2,2,2.586
2,3,1.737
2,4,1.456
2,5,2.699
2,6,2.083
2,7,2.359
2,8,2.335
2,9,2.358
2,10,2.832
2,11,4.062
2,12,3.914
2,13,3.791
2,14,2.615
2,15,1.709
2,16,1.482
2,17,1.775
2,18,2.203
2,19,4.269
2,20,3.262
2,21,3.247
2,22,3.562
2,23,3.738
3,0,3.103
3,1,1.632
3,2,1.464
3,3,0.901
3,4,1.686
3,5,1.089
3,6,1.315
3,7,1.883
3,8,1.184
3,9,0.823
3,10,1.071
3,11,1.609
3,12,1.077
3,13,0.898
3,14,1.671
3,15,2.62
3,16,2.961
3,17,1.734
3,18,2.556
3,19,2.295
3,20,2.08
3,21,3.162
3,22,3.215
3,23,2.988
4,0,2.197
4,1,1.838
4,2,2.303
4,3,1.877
4,4,2.239
4,5,3.107
4,6,2.656
4,7,2.671
4,8,3.526
4,9,3.093
4,10,2.117
4,11,2.095
4,12,1.827
4,13,1.239
4,14,2.344
4,15,1.931
4,16,1.601
4,17,1.068
4,18,1.553
4,19,0.883
4,20,2.498
4,21,2.262
4,22,1.947
4,23,1.148
5,0,2.568
5,1,2.918
5,2,1.735
5,3,0.945
5,4,1.179
5,5,2.152
5,6,1.576
5,7,1.836
5,8,1.977
5,9,1.308
5,10,1.483
5,11,1.306
5,12,2.007
5,13,2.101
5,14,2.422
5,15,1.93
5,16,1.854
5,17,2.036
5,18,2.806
5,19,2.107
5,20,4.679
5,21,2.872
5,22,3.829
5,23,3.463
6,0,2.615
6,1,1.131
6,2,1.815
6,3,1.092
6,4,1.433
6,5,2.004
6,6,1.616
6,7,1.472
6,8,1.635
6,9,1.834
6,10,1.646
6,11,1.526
6,12,1.673
6,13,2.045
6,14,3.606
6,15,4.456
6,16,5.106
6,17,4.174
6,18,4.59
6,19,2.728
6,20,1.921
6,21,2.798
6,22,3.69
6,23,3.222
7,0,2.795
7,1,2.406
7,2,2.039
7,3,1.817
7,4,2.183
7,5,1.483
7,6,2.536
7,7,1.389
7,8,1.607
7,9,1.524
7,10,1.757
7,11,1.527
7,12,2.892
7,13,1.577
7,14,1.57
7,15,1.303
7,16,2.191
7,17,2.101
7,18,1.112
7,19,2.113
7,20,1.983
7,21,3.448
7,22,3.727
7,23,3.985
8,0,3.135
8,1,1.803
8,2,2.461
8,3,3.197
8,4,2.738
8,5,2.118
8,6,2.159
8,7,3.021
8,8,2.159
8,9,2.056
8,10,2.668
8,11,2.253
8,12,1.832
8,13,2.543
8,14,1.698
8,15,2.157
8,16,1.647
8,17,1.71
8,18,2.815
8,19,1.32
8,20,1.502
8,21,1.665
8,22,2.303
8,23,2.024
9,0,1.633
9,1,1.754
9,2,1.072
9,3,1.491
9,4,0.935
9,5,1.273
9,6,1.398
9,7,1.962
9,8,1.434
9,9,1.496
9,10,2.042
9,11,1.624
9,12,1.291
9,13,2.033
9,14,2.052
9,15,2.089
9,16,1.977
9,17,1.712
9,18,2.193
9,19,2.631
9,20,2.128
9,21,1.1
9,22,1.817
9,23,0.941
10,0,1.002
10,1,1.463
10,2,1.009
10,3,0.953
10,4,1.443
10,5,0.776
10,6,0.742
10,7,1.145
10,8,0.612
10,9,0.612
10,10,0.972
10,11,0.987
10,12,1.368
10,13,2.792
10,14,2.817
10,15,2.934
10,16,2.695
10,17,2.799
10,18,4.419
10,19,4.538
10,20,3.932
10,21,2.652
10,22,1.469
10,23,1.511
11,0,1.159
11,1,1.062
11,2,1.001
11,3,1.454
11,4,0.955
11,5,1.129
11,6,1.531
11,7,3.278
11,8,3.141
11,9,2.71
11,10,1.009
11,11,1.364
11,12,1.196
11,13,0.947
11,14,1.04
11,15,1.949
11,16,1.376
11,17,1.186
11,18,2.968
11,19,1.77
11,20,1.55
11,21,1.44
11,22,3.17
11,23,1.576
12,0,1.596
12,1,1.373
12,2,1.2
12,3,1.82
12,4,1.083
12,5,1.867
12,6,2.092
12,7,1.81
12,8,2.25
12,9,1.401
12,10,1.607
12,11,1.339
12,12,1.625
12,13,1.306
12,14,1.335
12,15,2.153
12,16,1.314
12,17,1.78
12,18,2.02
12,19,2.168
12,20,1.467
12,21,2.744
12,22,1.918
12,23,1.804
13,0,1.203
13,1,1.482
13,2,1.34
13,3,1.037
13,4,0.85
13,5,1.506
13,6,1.565
13,7,1.288
13,8,1.038
13,9,1.723
13,10,0.956
13,11,1.216
13,12,0.917
13,13,1.764
13,14,1.173
13,15,1.709
